C:\nitrologic\romulon>rpc
rpccoms 0.3.2 looking for "USB\VID_2E8A"
 HWND:722580
[RPC] echoing COM6 handle:0x138 path:USB\VID_2E8A&PID_000A&MI_00\8&D547ADD&0&0000
[RPC] ignoring {port:COM1,path:ACPI\PNP0501\0,info:Communications Port (COM1)}
[thread] starting reader for COM6
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266625}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266626}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266627}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266628}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266629}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266630}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266631}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266632}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266633}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266634}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266635}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266636}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266637}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266638}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266639}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266640}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266641}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266642}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266643}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4c4b 4c R 1 ffff"},"id":266644}
[RX] line:{"jsonrpc":"2.0","result":{"A D CS RW T":"4d4b 4c R 1 ffd8"},"id":266645}
